                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                  1.301,                0.74875,                 1.3615,                 1.3538,                0.80739,                 1.3944,                0.77452,                0.75772,                0.79334,                0.40825,                 1.5454,                0.81476,                 1.5393,                 1.5717,                0.88028,                 1.5555,              0.0091981,              0.0091981,              0.0091981
                     84,                  1.303,                0.74191,                 1.3565,                 1.3565,                0.79939,                 1.3911,                0.76235,                0.76661,                 0.7942,                0.40801,                 1.5468,                0.81374,                 1.5412,                 1.5737,                0.88089,                 1.5599,              0.0091882,              0.0091882,              0.0091882
                     85,                 1.3019,                0.74397,                 1.3598,                 1.3565,                0.79852,                 1.3947,                0.77308,                0.74968,                0.79465,                 0.4072,                 1.5419,                0.82088,                 1.5378,                 1.5699,                0.88887,                 1.5581,              0.0091783,              0.0091783,              0.0091783
                     86,                 1.2952,                0.73284,                 1.3549,                 1.3491,                 0.7881,                 1.3876,                0.77763,                0.74342,                0.79243,                0.40502,                 1.5467,                0.81919,                 1.5409,                 1.5736,                0.88663,                 1.5606,              0.0091684,              0.0091684,              0.0091684
                     87,                 1.2936,                0.73676,                 1.3475,                 1.3472,                0.79403,                 1.3826,                0.76374,                0.75872,                   0.79,                0.40403,                  1.546,                0.82222,                 1.5401,                 1.5744,                0.88533,                 1.5586,              0.0091585,              0.0091585,              0.0091585
                     88,                  1.288,                0.72373,                 1.3356,                 1.3422,                0.78021,                 1.3696,                 0.7764,                0.74957,                 0.7918,                0.40538,                 1.5477,                0.82489,                 1.5375,                  1.573,                 0.8901,                 1.5568,              0.0091486,              0.0091486,              0.0091486
                     89,                 1.2883,                0.72749,                 1.3372,                 1.3468,                  0.778,                 1.3746,                0.75592,                0.77067,                 0.7942,                0.40669,                 1.5477,                0.82601,                 1.5344,                 1.5704,                0.89254,                  1.551,              0.0091387,              0.0091387,              0.0091387
                     90,                 1.2899,                0.73364,                  1.347,                 1.3412,                0.78612,                  1.383,                 0.7517,                0.77116,                 0.7952,                0.40743,                  1.546,                0.82246,                 1.5336,                 1.5682,                0.89686,                 1.5495,              0.0091288,              0.0091288,              0.0091288
                     91,                 1.2911,                0.73659,                 1.3462,                 1.3463,                0.79043,                 1.3819,                0.74389,                0.77576,                0.79707,                0.40719,                 1.5475,                0.82136,                 1.5388,                 1.5695,                0.89406,                 1.5542,              0.0091189,              0.0091189,              0.0091189
                     92,                 1.2785,                0.73159,                 1.3408,                 1.3316,                0.78556,                 1.3783,                0.76441,                 0.7639,                 0.7973,                0.40708,                 1.5464,                  0.821,                 1.5393,                 1.5679,                0.89568,                  1.557,               0.009109,               0.009109,               0.009109
                     93,                 1.2788,                0.72159,                  1.342,                 1.3319,                0.77433,                 1.3773,                0.76758,                 0.7569,                 0.7959,                0.40786,                 1.5437,                0.82302,                  1.539,                 1.5679,                0.89509,                 1.5577,              0.0090991,              0.0090991,              0.0090991
                     94,                 1.2787,                 0.7146,                 1.3334,                 1.3331,                0.76836,                 1.3671,                0.77248,                0.76016,                0.79889,                0.40877,                 1.5424,                  0.823,                 1.5361,                 1.5656,                 0.9082,                 1.5538,              0.0090892,              0.0090892,              0.0090892
                     95,                 1.2748,                0.71356,                 1.3303,                 1.3268,                 0.7637,                 1.3639,                0.74976,                0.78211,                 0.7966,                0.40668,                 1.5445,                0.82447,                 1.5375,                  1.571,                0.90556,                 1.5538,              0.0090793,              0.0090793,              0.0090793
                     96,                 1.2637,                0.71265,                 1.3257,                 1.3168,                0.76439,                 1.3594,                0.76733,                0.75345,                0.79349,                0.40491,                 1.5474,                0.82453,                 1.5376,                 1.5731,                0.90764,                  1.553,              0.0090694,              0.0090694,              0.0090694
                     97,                 1.2807,                0.71665,                 1.3374,                 1.3347,                 0.7653,                 1.3767,                0.74823,                0.77583,                0.79127,                0.40467,                 1.5487,                0.82416,                 1.5411,                 1.5748,                0.90301,                 1.5601,              0.0090595,              0.0090595,              0.0090595
                     98,                 1.2782,                0.72755,                 1.3386,                 1.3333,                 0.7835,                  1.377,                0.74153,                0.78797,                0.79294,                0.40385,                 1.5481,                0.82427,                 1.5429,                 1.5737,                0.90276,                 1.5624,              0.0090496,              0.0090496,              0.0090496
                     99,                 1.2575,                0.70724,                 1.3319,                 1.3138,                0.75471,                  1.372,                0.76351,                0.76137,                0.79288,                0.40525,                 1.5473,                0.82364,                 1.5458,                  1.571,                0.90745,                 1.5664,              0.0090397,              0.0090397,              0.0090397
                    100,                 1.2721,                0.71317,                 1.3302,                 1.3264,                0.76253,                 1.3664,                0.75652,                0.76784,                0.79175,                0.40468,                 1.5495,                0.82354,                  1.549,                 1.5755,                0.90142,                 1.5697,              0.0090298,              0.0090298,              0.0090298
                    101,                 1.2705,                0.71636,                 1.3349,                 1.3228,                0.76766,                 1.3708,                 0.7583,                0.76439,                0.79599,                0.40533,                 1.5515,                0.82284,                 1.5496,                 1.5778,                0.90316,                 1.5689,              0.0090199,              0.0090199,              0.0090199
                    102,                  1.273,                0.71383,                 1.3324,                 1.3265,                0.76751,                 1.3686,                 0.7484,                0.77298,                0.79305,                0.40471,                 1.5522,                0.82229,                 1.5481,                 1.5764,                0.90449,                 1.5662,                0.00901,                0.00901,                0.00901
